CSV File for the City6 on the year
1 - Day D 
2 - Energy Consumed on the Day D 
3 - Energy Produced on the Day D 
4 - Energy Consumed since the beginning of the year 
5 - Energy Produced since the beginning of the year 
6 - Energy Lost since the beginning of the year on lines starting from the city
 
1 ; 5.134705795950678E7  ; 2.3120796034686044E11  ; 0.0 ; 0.0 ; 0.0
2 ; 5.140389672110659E7  ; 2.3121042490080545E11  ; 5.134705795950678E7 ; 2.3120796034686044E11 ; 381119.1499999936
3 ; 5.145341043089477E7  ; 2.3121460161884207E11  ; 1.0275095468061337E8 ; 4.624183852476659E11 ; 762238.2999999872
4 ; 5.149654028079525E7  ; 2.312156935438182E11  ; 1.5420436511150813E8 ; 6.936329868665079E11 ; 1143357.4499999809
5 ; 5.15420998172715E7  ; 2.3121738230557608E11  ; 2.0570090539230338E8 ; 9.248486804103262E11 ; 1524476.5999999745
6 ; 5.1588062952304885E7  ; 2.3121876930282382E11  ; 2.5724300520957488E8 ; 1.1560660627159023E12 ; 1905595.749999968
7 ; 5.162483632483944E7  ; 2.3122037839544034E11  ; 3.088310681618798E8 ; 1.387284832018726E12 ; 2286714.8999999617
8 ; 5.166860758370394E7  ; 2.312231228412152E11  ; 3.6045590448671925E8 ; 1.6185052104141665E12 ; 2667834.049999955
9 ; 5.170143224160959E7  ; 2.3122450702091357E11  ; 4.121245120704232E8 ; 1.8497283332553818E12 ; 3048953.199999949
10 ; 5.1740907525546364E7  ; 2.3122529413974442E11  ; 4.6382594431203276E8 ; 2.0809528402762954E12 ; 3430072.349999943
11 ; 5.177249531466551E7  ; 2.3122627862247647E11  ; 5.1556685183757913E8 ; 2.31217813441604E12 ; 3811191.4999999367
12 ; 5.1805141476983115E7  ; 2.312268895849307E11  ; 5.673393471522447E8 ; 2.5434044130385166E12 ; 4192310.6499999305
13 ; 5.183021827101087E7  ; 2.312293583558644E11  ; 6.191444886292278E8 ; 2.7746313026234473E12 ; 4573429.799999924
14 ; 5.1859489708277784E7  ; 2.3122993467522406E11  ; 6.709747069002386E8 ; 3.0058606609793115E12 ; 4954548.949999918
15 ; 5.188433119532268E7  ; 2.3123008495083197E11  ; 7.228341966085165E8 ; 3.2370905956545356E12 ; 5335668.099999912
16 ; 5.191815817802674E7  ; 2.312310467651227E11  ; 7.747185278038391E8 ; 3.4683206806053677E12 ; 5716787.249999906
17 ; 5.193968109493223E7  ; 2.312320278174849E11  ; 8.266366859818659E8 ; 3.69955172737049E12 ; 6097906.3999999
18 ; 5.196500446066955E7  ; 2.3123207167252603E11  ; 8.785763670767981E8 ; 3.930783755187975E12 ; 6479025.549999894
19 ; 5.198194854399036E7  ; 2.312321415708805E11  ; 9.305413715374676E8 ; 4.162015826860501E12 ; 6860144.6999998875
20 ; 5.2001003402794525E7  ; 2.312315839995582E11  ; 9.82523320081458E8 ; 4.3932479684313813E12 ; 7241263.849999881
21 ; 5.202368165785939E7  ; 2.312326753627156E11  ; 1.0345243234842525E9 ; 4.624479552430939E12 ; 7622382.999999875
22 ; 5.203930842267811E7  ; 2.3123226483234622E11  ; 1.0865480051421118E9 ; 4.855712227793655E12 ; 8003502.149999869
23 ; 5.205503722601754E7  ; 2.312314636647728E11  ; 1.1385873135647898E9 ; 5.086944492626002E12 ; 8384621.299999863
24 ; 5.207907294092219E7  ; 2.312321325329802E11  ; 1.1906423507908072E9 ; 5.318175956290774E12 ; 8765740.449999856
25 ; 5.208781258154322E7  ; 2.312331710323581E11  ; 1.2427214237317295E9 ; 5.549408088823755E12 ; 9146859.599999849
26 ; 5.21016222064372E7  ; 2.3123229208290088E11  ; 1.2948092363132727E9 ; 5.780641259856113E12 ; 9527978.749999842
27 ; 5.211364418950094E7  ; 2.312313108256507E11  ; 1.3469108585197098E9 ; 6.011873551939014E12 ; 9909097.899999835
28 ; 5.21194286563549E7  ; 2.312299830814369E11  ; 1.3990245027092109E9 ; 6.243104862764664E12 ; 1.0290217049999828E7
29 ; 5.212604863639438E7  ; 2.3123042252261737E11  ; 1.4511439313655658E9 ; 6.474334845846101E12 ; 1.067133619999982E7
30 ; 5.213888484524305E7  ; 2.3123157840621317E11  ; 1.5032699800019603E9 ; 6.705565268368718E12 ; 1.1052455349999813E7
31 ; 5.214162740665954E7  ; 2.3122992015298654E11  ; 1.5554088648472033E9 ; 6.936796846774931E12 ; 1.1433574499999806E7
32 ; 5.214777520325101E7  ; 2.3123024940933817E11  ; 1.6075504922538629E9 ; 7.168026766927917E12 ; 1.18146936499998E7
33 ; 5.214300862503543E7  ; 2.3123028754115643E11  ; 1.659698267457114E9 ; 7.399257016337255E12 ; 1.2195812799999792E7
34 ; 5.21351511289976E7  ; 2.3123013764173682E11  ; 1.7118412760821495E9 ; 7.630487303878411E12 ; 1.2576931949999785E7
35 ; 5.213739795215578E7  ; 2.3123152638848865E11  ; 1.763976427211147E9 ; 7.861717441520148E12 ; 1.2958051099999778E7
36 ; 5.212952252145765E7  ; 2.3123169216556918E11  ; 1.816113825163303E9 ; 8.092948967908637E12 ; 1.333917024999977E7
37 ; 5.21238031528609E7  ; 2.31233350237068E11  ; 1.8682433476847606E9 ; 8.324180660074206E12 ; 1.3720289399999764E7
38 ; 5.210831694865748E7  ; 2.3123325910750574E11  ; 1.9203671508376215E9 ; 8.555414010311274E12 ; 1.4101408549999757E7
39 ; 5.209424532750673E7  ; 2.312335210797235E11  ; 1.972475467786279E9 ; 8.78664726941878E12 ; 1.448252769999975E7
