CSV File for the City4 on the year
1 - Day D 
2 - Energy Consumed on the Day D 
3 - Energy Produced on the Day D 
4 - Energy Consumed since the beginning of the year 
5 - Energy Produced since the beginning of the year 
6 - Energy Lost since the beginning of the year on lines starting from the city
 
1 ; 1.0750061400957518E9  ; 1.3739376391974764E9  ; 0.0 ; 0.0 ; 0.0
2 ; 1.0754273231135745E9  ; 1.372683967156015E9  ; 1.0750061400957518E9 ; 1.3739376391974764E9 ; 0.0
3 ; 1.0758307406590066E9  ; 1.3715057254016926E9  ; 2.1504334632093263E9 ; 2.7466216063534913E9 ; 0.0
4 ; 1.0762386522985685E9  ; 1.3707329436072993E9  ; 3.226264203868333E9 ; 4.118127331755184E9 ; 0.0
5 ; 1.0765988431998136E9  ; 1.3704994627660334E9  ; 4.302502856166902E9 ; 5.488860275362484E9 ; 0.0
6 ; 1.0769541126297164E9  ; 1.3700162776796079E9  ; 5.379101699366715E9 ; 6.859359738128517E9 ; 0.0
7 ; 1.0772781166601105E9  ; 1.369127719322813E9  ; 6.456055811996431E9 ; 8.229376015808125E9 ; 0.0
8 ; 1.0775904639601278E9  ; 1.3692120344425032E9  ; 7.533333928656542E9 ; 9.598503735130938E9 ; 0.0
9 ; 1.0778772933739603E9  ; 1.3687897919149733E9  ; 8.610924392616669E9 ; 1.096771576957344E10 ; 0.0
10 ; 1.0780981488491793E9  ; 1.3685311687509096E9  ; 9.68880168599063E9 ; 1.2336505561488415E10 ; 0.0
11 ; 1.0783312646843624E9  ; 1.368325795228349E9  ; 1.076689983483981E10 ; 1.3705036730239325E10 ; 0.0
12 ; 1.0785958929767485E9  ; 1.3681679587502985E9  ; 1.1845231099524172E10 ; 1.5073362525467674E10 ; 0.0
13 ; 1.0787890382934177E9  ; 1.3665229018814178E9  ; 1.292382699250092E10 ; 1.6441530484217972E10 ; 0.0
14 ; 1.0790153838823261E9  ; 1.3660896107457342E9  ; 1.4002616030794336E10 ; 1.780805338609939E10 ; 0.0
15 ; 1.0791961091253083E9  ; 1.3659532740429952E9  ; 1.5081631414676662E10 ; 1.9174142996845123E10 ; 0.0
16 ; 1.0793468455911937E9  ; 1.365710833349306E9  ; 1.6160827523801971E10 ; 2.054009627088812E10 ; 0.0
17 ; 1.0795092346795E9  ; 1.3654633158933442E9  ; 1.7240174369393166E10 ; 2.1905807104237427E10 ; 0.0
18 ; 1.07969205626343E9  ; 1.3652580439751124E9  ; 1.8319683604072666E10 ; 2.327127042013077E10 ; 0.0
19 ; 1.079813279157035E9  ; 1.365636921538208E9  ; 1.9399375660336098E10 ; 2.4636528464105885E10 ; 0.0
20 ; 1.0799873947670114E9  ; 1.3654710444513657E9  ; 2.0479188939493134E10 ; 2.6002165385644093E10 ; 0.0
21 ; 1.0801576525934706E9  ; 1.3646763345943913E9  ; 2.1559176334260143E10 ; 2.736763643009546E10 ; 0.0
22 ; 1.0803104241683404E9  ; 1.3644292422699835E9  ; 2.2639333986853615E10 ; 2.873231276468985E10 ; 0.0
23 ; 1.0804667643207784E9  ; 1.36489478985615E9  ; 2.3719644411021954E10 ; 3.0096742006959835E10 ; 0.0
24 ; 1.0806422052746632E9  ; 1.364290534395196E9  ; 2.480011117534273E10 ; 3.1461636796815987E10 ; 0.0
25 ; 1.0808146550453014E9  ; 1.3643169804060671E9  ; 2.5880753380617393E10 ; 3.282592733121118E10 ; 0.0
26 ; 1.0809754875812852E9  ; 1.3641021957533605E9  ; 2.6961568035662697E10 ; 3.419024431161725E10 ; 0.0
27 ; 1.0811165248050997E9  ; 1.3649193907423215E9  ; 2.804254352324398E10 ; 3.5554346507370605E10 ; 0.0
28 ; 1.0812674859445035E9  ; 1.3648519006121378E9  ; 2.912366004804908E10 ; 3.691926589811293E10 ; 0.0
29 ; 1.0813532033377385E9  ; 1.3649109045045185E9  ; 3.0204927533993584E10 ; 3.828411779872507E10 ; 0.0
30 ; 1.081473537618791E9  ; 1.3638473677876887E9  ; 3.128628073733132E10 ; 3.964902870322958E10 ; 0.0
31 ; 1.0815311704667559E9  ; 1.3651118468190775E9  ; 3.236775427495011E10 ; 4.101287607101727E10 ; 0.0
32 ; 1.081592734352814E9  ; 1.3648471536889367E9  ; 3.3449285445416866E10 ; 4.237798791783635E10 ; 0.0
33 ; 1.081589823122756E9  ; 1.3643874861106555E9  ; 3.4530878179769684E10 ; 4.374283507152528E10 ; 0.0
34 ; 1.081498507683852E9  ; 1.3647257046741507E9  ; 3.561246800289244E10 ; 4.510722255763594E10 ; 0.0
35 ; 1.0814131321268957E9  ; 1.364387983259679E9  ; 3.6693966510576294E10 ; 4.647194826231009E10 ; 0.0
36 ; 1.081242301374328E9  ; 1.3643671590838268E9  ; 3.7775379642703186E10 ; 4.783633624556977E10 ; 0.0
37 ; 1.0811404408086662E9  ; 1.3638308611140006E9  ; 3.8856621944077515E10 ; 4.9200703404653595E10 ; 0.0
38 ; 1.0809208348705955E9  ; 1.36395988200827E9  ; 3.9937762384886185E10 ; 5.056453426576759E10 ; 0.0
39 ; 1.0806998119038289E9  ; 1.3636530074237254E9  ; 4.101868321975678E10 ; 5.192849414777586E10 ; 0.0
40 ; 1.080469943813776E9  ; 1.3639863975130208E9  ; 4.2099383031660614E10 ; 5.329214715519959E10 ; 0.0
41 ; 1.080238803680899E9  ; 1.3638769791476943E9  ; 4.317985297547439E10 ; 5.4656133552712616E10 ; 0.0
42 ; 1.0799038897625747E9  ; 1.364225914609302E9  ; 4.426009177915529E10 ; 5.602001053186031E10 ; 0.0
